"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"69","Audi",2018,76074,3,"1","Petrol","Four-wheel Drive",21,30,"0","0","1","1","0","1",28495
"70","Toyota",2018,53971,4,"1","Petrol","Four-wheel Drive",17,20,"0","0","1","1","0","1",36980
"71","Suzuki",2012,138248,2,"1","Petrol","Four-wheel Drive",15,22,"0","1","1","0","0","1",7488
"72","Kia",2022,15651,1.6,"1","Hybrid","Four-wheel Drive",18,24,"0","1","1","1","1","0",46407
"73","Lexus",2015,63632,4.6,"1","Petrol","Four-wheel Drive",15,19,"0","0","1","1","0","0",32990
"74","MINI",2022,2116,2,"1","Electric","Front-wheel Drive",23,32,"0","1","1","1","0","1",29296
"75","Jeep",2013,117708,3.6,"0","Petrol","Four-wheel Drive",24,31,"0","0","0","0","0","0",21900
"76","Jeep",2023,2080,3.6,"1","Petrol","Rear-wheel Drive",15,21,"0","1","0","0","1","1",44000
"77","Jaguar",2019,23574,5,"1","Petrol","Rear-wheel Drive",22,27,"0","1","1","1","0","0",37998
"78","Mazda",2006,81102,3,"1","Petrol","Front-wheel Drive",24,30,"0","1","0","0","1","0",8995
"79","Kia",2022,3156,2.5,"1","Petrol","Front-wheel Drive",22,29,"0","1","1","1","1","1",35954
"80","Jeep",2022,5525,3.6,"1","Petrol","Four-wheel Drive",18,25,"0","1","1","1","1","1",49999
"81","Alfa",2019,44266,2,"1","Petrol","Four-wheel Drive",23,31,"0","1","0","1","0","0",28519
"82","Nissan",2022,20863,5.6,"1","Petrol","Rear-wheel Drive",27,35,"0","1","1","1","1","0",43991
"83","Mercedes-Benz",2014,79279,4.7,"1","Petrol","Four-wheel Drive",21,28,"0","0","1","1","1","0",22349
"84","Audi",2020,48813,2,"1","Petrol","Four-wheel Drive",19,27,"0","1","0","1","0","1",30991
"85","Jeep",2017,55377,2.4,"1","Petrol","Front-wheel Drive",23,30,"1","0","1","1","0","0",19994
"86","Nissan",2014,63895,4,"1","Petrol","Four-wheel Drive",24,26,"0","0","0","1","0","0",21995
"87","Cadillac",2019,24702,2,"1","Petrol","Four-wheel Drive",14,18,"0","0","0","1","0","0",34114
"88","Volkswagen",2023,2231,2,"1","Petrol","Four-wheel Drive",25,32,"0","1","0","0","0","1",36495
"89","Audi",2017,97537,2,"1","GPL","Four-wheel Drive",23,28,"1","1","1","1","0","1",23496
"90","Volkswagen",2020,39527,2,"1","Petrol","Front-wheel Drive",20,24,"0","0","0","1","0","1",23434
"91","Nissan",2017,44678,3.5,"1","Petrol","Front-wheel Drive",25,32,"0","1","1","1","0","1",24990
"92","Lexus",2017,70842,3.5,"1","Petrol","Rear-wheel Drive",15,25,"0","0","0","1","0","0",32998
"93","MINI",2015,117482,2,"0","Petrol","Front-wheel Drive",29,37,"0","0","0","1","0","0",10990
"94","Jaguar",2020,12378,2,"1","Petrol","Four-wheel Drive",16,22,"0","1","1","1","0","1",43491
"95","Cadillac",2017,75993,2,"1","Petrol","Four-wheel Drive",14,19,"0","0","0","1","0","0",17552
"96","Mazda",2015,116772,2.5,"1","Petrol","Front-wheel Drive",22,35,"0","0","0","1","0","0",13975
"97","Alfa",2019,19371,2,"1","Petrol","Four-wheel Drive",22,28,"0","0","0","1","0","0",31362
"98","Chevrolet",2021,27170,1.3,"1","Petrol","Four-wheel Drive",26,30,"0","1","0","1","0","1",26495
"99","Volkswagen",2020,22253,3.6,"1","Petrol","Front-wheel Drive",20,27,"0","1","0","1","0","1",33997
"100","Audi",2020,16560,3,"1","Petrol","Four-wheel Drive",20,27,"0","1","0","1","0","1",49000
"101","Volvo",2018,23627,2,"1","Petrol","Four-wheel Drive",18,26,"0","1","1","1","0","0",33549
"102","Audi",2022,17710,2,"1","Petrol","Four-wheel Drive",21,28,"0","0","0","1","0","1",43994
"103","Alfa",2018,31650,2,"1","Petrol","Four-wheel Drive",23,31,"0","1","0","1","0","1",26612
"104","Mitsubishi",2019,76055,2,"1","Petrol","Front-wheel Drive",24,29,"0","0","0","1","0","0",16704
"105","Nissan",2018,53679,3.5,"1","Petrol","Four-wheel Drive",26,33,"0","1","1","1","0","0",24999
"106","Mitsubishi",2021,47223,2,"1","Petrol","Four-wheel Drive",25,28,"0","1","0","1","0","1",19209
"107","Volvo",2020,59927,2,"1","Petrol","Four-wheel Drive",21,32,"0","1","1","1","1","0",36998
"108","Audi",2016,27338,3,"1","Petrol","Four-wheel Drive",20,30,"0","1","1","1","0","1",32995
"109","Jeep",2017,59218,3.6,"1","Petrol","Four-wheel Drive",18,25,"0","0","0","0","0","0",32881
"110","Nissan",2018,51147,2.5,"1","Petrol","Front-wheel Drive",19,26,"1","0","0","1","0","0",18500
"111","Audi",2009,111645,2,"1","Petrol","Four-wheel Drive",21,27,"0","0","0","0","0","0",7900
"112","Toyota",2017,62096,3.5,"1","Petrol","Four-wheel Drive",28,29,"1","1","1","1","1","1",32950
"113","Porsche",2016,89649,3.6,"1","Petrol","Four-wheel Drive",19,23,"0","0","1","1","0","1",35292
"114","Cadillac",2012,67000,6.2,"1","Petrol","Rear-wheel Drive",11,16,"1","0","1","1","0","1",29995
"115","Mitsubishi",2012,115184,2,"1","Petrol","Four-wheel Drive",21,25,"0","1","0","1","0","1",9950
"116","Mazda",2019,21253,2.5,"1","Petrol","Four-wheel Drive",24,30,"1","1","0","1","0","1",24786
"117","Hyundai",2020,30613,3.8,"1","Petrol","Four-wheel Drive",28,38,"1","0","1","1","1","0",44998
"118","Mitsubishi",2021,42492,2,"1","Petrol","Four-wheel Drive",17,23,"0","1","0","1","0","1",19399
"119","Mitsubishi",2006,127403,2.4,"1","Petrol","Front-wheel Drive",15,13,"0","0","0","0","0","0",5988
"120","Kia",2016,101649,1.6,"1","Petrol","Front-wheel Drive",18,25,"0","0","0","0","0","0",8491
"121","FIAT",2016,27776,2.4,"1","Petrol","Front-wheel Drive",22,31,"0","1","1","1","0","1",14950
"122","Chevrolet",2013,193067,3.6,"1","Petrol","Front-wheel Drive",17,24,"1","0","0","1","1","0",4900
"123","Chevrolet",2019,22317,1.8,"1","Petrol","Front-wheel Drive",43,49,"0","1","1","1","0","0",25999
"124","Cadillac",2020,7773,2,"1","Petrol","Rear-wheel Drive",22,29,"0","1","1","1","0","0",37995
"125","Honda",2019,92493,1.5,"1","Petrol","Front-wheel Drive",30,38,"0","0","0","1","0","1",24988
"126","Honda",2015,97390,2.4,"1","Petrol","Four-wheel Drive",26,33,"0","0","0","1","0","0",19495
"127","Jaguar",2020,28240,2,"1","Petrol","Four-wheel Drive",30,40,"0","1","1","1","0","0",42755
"128","Mazda",2021,55491,2.5,"1","Petrol","Four-wheel Drive",26,31,"0","1","0","1","0","0",21242
"129","MINI",2013,81150,1.6,"1","Petrol","Front-wheel Drive",26,34,"1","0","0","1","0","0",13995
"130","Hyundai",2017,90975,2.4,"1","Petrol","Front-wheel Drive",57,59,"0","0","0","1","0","1",14577
"131","Nissan",2022,3249,2,"1","Petrol","Four-wheel Drive",12,17,"0","1","0","0","0","0",28297
"132","Nissan",2020,63172,2,"1","Petrol","Front-wheel Drive",20,27,"1","1","0","1","0","0",20910
"133","Volvo",2018,61787,2,"1","Petrol","Four-wheel Drive",17,23,"0","0","1","1","1","1",31990
"134","Lexus",2020,4832,3.5,"1","Petrol","Four-wheel Drive",43,44,"1","1","1","1","0","1",46915
"135","Chevrolet",2022,11626,2,"1","Petrol","Rear-wheel Drive",19,29,"1","1","0","1","0","0",28000
"136","Kia",2020,56358,3.8,"1","Petrol","Four-wheel Drive",27,37,"0","0","0","1","1","0",31777
"137","Alfa",2018,49942,2,"1","Petrol","Four-wheel Drive",24,33,"0","0","0","1","0","1",26795
"138","Volvo",2013,112222,2.5,"1","Petrol","Front-wheel Drive",22,34,"0","0","0","1","0","0",12992
"139","Ford",2023,114,2,"1","Petrol","Front-wheel Drive",13,19,"0","1","0","1","0","0",31990
"140","Volkswagen",2018,71167,2,"1","Petrol","Front-wheel Drive",18,22,"0","0","0","1","0","1",15999
"141","Hyundai",2013,132210,2.4,"1","Petrol","Front-wheel Drive",22,25,"0","0","0","1","0","0",7905
"142","MINI",2019,39536,2,"1","Petrol","Four-wheel Drive",23,33,"0","0","1","1","0","0",27698
"143","Kia",2022,27302,3.8,"1","Petrol","Four-wheel Drive",24,34,"0","1","1","1","1","1",44715
"144","MINI",2018,74697,1.5,"1","Petrol","Four-wheel Drive",25,31,"1","0","0","1","0","0",18881
"145","Kia",2023,3430,3.8,"1","Petrol","Four-wheel Drive",20,26,"0","1","1","1","1","1",48000
"146","Porsche",2015,97133,3.6,"1","Petrol","Four-wheel Drive",18,25,"0","1","1","1","0","1",29971
"147","Land",2018,57178,2,"1","Petrol","Four-wheel Drive",21,25,"0","0","1","1","0","0",25998
"148","Nissan",2013,76654,3.5,"1","Petrol","Four-wheel Drive",30,36,"1","0","0","0","1","0",12749
"149","Volvo",2011,124700,2.5,"1","Petrol","Front-wheel Drive",22,31,"0","0","0","0","0","0",5999
"150","Volkswagen",2018,68665,2,"0","Petrol","Four-wheel Drive",28,36,"0","1","0","1","0","0",18400
"151","Jeep",2017,86677,3.6,"1","Petrol","Four-wheel Drive",17,23,"0","0","1","1","0","1",25551
"152","Nissan",2019,33054,3.5,"1","Petrol","Four-wheel Drive",21,28,"0","1","0","1","0","0",27444
"153","FIAT",2015,75084,1.4,"1","Petrol","Front-wheel Drive",28,34,"1","0","0","1","0","0",11867
"154","Alfa",2019,30667,2,"1","Petrol","Four-wheel Drive",23,31,"0","1","1","1","0","0",23995
"155","Audi",2015,88254,2,"1","Petrol","Four-wheel Drive",23,31,"0","0","0","1","0","0",22442
"156","FIAT",2013,158835,1.4,"1","Petrol","Front-wheel Drive",25,36,"1","0","0","1","0","0",6289
"157","Volvo",2019,62982,2,"1","Petrol","Four-wheel Drive",20,30,"0","1","1","1","1","1",35988
"158","Hyundai",2023,2465,2.5,"1","Petrol","Front-wheel Drive",45,51,"0","1","1","1","0","1",29997
