"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"248","Nissan",2021,17806,2.5,"1","Petrol","Four-wheel Drive",31,40,"0","1","0","1","0","0",25280
"249","Maserati",2018,48651,3,"1","Petrol","Rear-wheel Drive",15,25,"1","1","1","1","0","1",28905
"250","Maserati",2015,78041,3,"1","Petrol","Rear-wheel Drive",16,22,"0","0","1","1","0","0",22399
"251","Volvo",2005,95738,2.5,"1","Petrol","Four-wheel Drive",18,26,"0","0","0","0","0","0",8498
"252","BMW",2020,39394,2,"1","Petrol","Four-wheel Drive",21,31,"0","1","1","1","0","1",34359
"253","Jaguar",2013,61754,3,"1","Petrol","Four-wheel Drive",16,24,"0","0","0","1","0","0",15985
"254","Porsche",2005,105639,3.6,"1","Petrol","Rear-wheel Drive",15,18,"0","0","1","1","0","0",29995
"255","Jaguar",2016,47257,5,"1","Petrol","Rear-wheel Drive",72,80,"0","0","1","1","0","1",32375
"256","MINI",2015,53530,1.5,"1","Petrol","Front-wheel Drive",28,37,"1","0","0","1","0","0",14995
"257","MINI",2013,86449,1.6,"0","Petrol","Front-wheel Drive",25,31,"1","0","1","1","0","0",10524
"258","Lexus",2020,29025,2,"1","Petrol","Front-wheel Drive",19,26,"0","1","0","1","0","0",39740
"259","Honda",2021,16344,1.5,"1","Petrol","Front-wheel Drive",31,40,"0","1","0","1","0","1",27300
"260","Jaguar",2021,30321,3.5,"1","Petrol","Four-wheel Drive",18,23,"0","1","1","1","0","1",49998
"261","BMW",2020,23723,2,"1","Petrol","Four-wheel Drive",24,31,"0","1","1","1","0","1",30998
"262","MINI",2019,53665,1.5,"1","Hybrid","Four-wheel Drive",26,32,"0","0","0","1","0","0",25984
"263","Lexus",2019,24637,2,"1","Petrol","Rear-wheel Drive",19,26,"0","1","1","1","0","0",37998
"264","Toyota",2022,17657,4,"1","Petrol","Four-wheel Drive",16,19,"0","1","1","1","0","1",50995
"265","Hyundai",2021,29064,3.8,"1","Petrol","Four-wheel Drive",40,44,"0","1","0","1","1","1",38577
"266","Cadillac",2016,85314,6.2,"1","Petrol","Four-wheel Drive",21,31,"1","0","1","1","1","0",36000
"267","MINI",2015,50585,1.6,"1","Petrol","Front-wheel Drive",24,34,"0","1","0","1","0","0",17950
"268","Mazda",2016,59147,2,"1","Petrol","Front-wheel Drive",20,27,"1","1","0","1","0","0",17998
"269","BMW",2021,52570,2,"1","Petrol","Four-wheel Drive",24,33,"0","0","1","1","0","1",38198
"270","Alfa",2021,9901,2,"1","Petrol","Four-wheel Drive",23,31,"0","1","0","1","0","0",36998
"271","MINI",2023,2596,2,"1","Petrol","Front-wheel Drive",28,33,"0","1","0","1","0","1",35750
"272","Kia",2022,33983,2.5,"1","Petrol","Front-wheel Drive",26,37,"0","1","1","1","1","0",38998
"273","Lexus",2015,116426,3.5,"1","Petrol","Rear-wheel Drive",19,29,"0","0","0","1","0","0",20970
"274","Alfa",2019,63071,2,"1","Petrol","Four-wheel Drive",22,28,"0","1","0","1","0","1",26900
"275","Honda",2020,35793,3.5,"1","Petrol","Four-wheel Drive",19,24,"0","1","0","1","0","1",36982
"276","Mitsubishi",2022,13049,2.5,"1","Petrol","Four-wheel Drive",25,30,"0","1","1","1","1","1",31301
"277","Mitsubishi",2019,82260,2.4,"1","Petrol","Front-wheel Drive",24,30,"1","1","0","1","1","0",18888
"278","Kia",2021,25824,2,"1","Petrol","Front-wheel Drive",17,25,"0","1","0","1","0","0",22998
"279","Cadillac",2023,2998,2,"1","Petrol","Four-wheel Drive",19,26,"0","1","0","0","0","0",49735
"280","Honda",2018,76001,3.5,"1","Petrol","Front-wheel Drive",19,28,"0","0","0","1","1","1",28299
"281","Jaguar",2019,16190,2,"1","Petrol","Four-wheel Drive",16,26,"0","1","1","1","0","1",27800
"282","FIAT",2015,52385,1.4,"1","Petrol","Front-wheel Drive",31,40,"0","0","0","1","0","0",15998
"283","FIAT",2016,36191,1.4,"1","Petrol","Front-wheel Drive",25,33,"1","1","0","1","0","0",15588
"284","Hyundai",2020,61867,1.6,"1","Petrol","Four-wheel Drive",15,23,"0","0","1","1","0","0",21941
"285","Jeep",2021,57798,2.4,"1","Petrol","Four-wheel Drive",17,27,"0","1","0","1","0","1",22490
"286","Honda",2016,71583,2,"0","Petrol","Front-wheel Drive",26,38,"0","0","0","1","0","0",19998
"287","Hyundai",2021,59392,3.8,"1","Petrol","Four-wheel Drive",22,25,"1","1","0","1","1","1",36076
"288","Honda",2018,116667,2,"0","Petrol","Front-wheel Drive",31,40,"0","0","0","1","0","0",15000
"289","Cadillac",2019,27070,3.6,"1","Petrol","Rear-wheel Drive",14,23,"1","0","1","1","0","0",51500
"290","MINI",2020,24285,1.5,"1","Petrol","Front-wheel Drive",23,33,"0","1","0","1","0","0",25795
"291","Chevrolet",2018,94306,2.8,"1","Diesel","Four-wheel Drive",17,24,"0","1","1","1","0","1",28900
"292","Jeep",2012,77888,3.7,"1","Petrol","Four-wheel Drive",17,22,"0","0","0","1","0","0",12995
"293","Maserati",2015,31143,3,"1","Petrol","Rear-wheel Drive",16,23,"1","0","1","1","0","0",32695
"294","Jaguar",2015,84339,3.8,"1","Petrol","Rear-wheel Drive",15,23,"0","0","1","1","0","1",16995
"295","Volkswagen",2020,51527,3.6,"1","Petrol","Four-wheel Drive",26,37,"1","1","1","1","1","1",33977
"296","FIAT",2013,81521,1.4,"0","Petrol","Front-wheel Drive",28,33,"0","1","0","1","0","0",8947
"297","Volkswagen",2021,7765,2,"1","Electric","Rear-wheel Drive",25,32,"0","1","1","1","0","1",34795
"298","Maserati",2004,33651,4.2,"1","Petrol","Rear-wheel Drive",16,24,"0","0","0","0","0","0",18950
"299","Mazda",2017,15173,2,"1","Petrol","Rear-wheel Drive",24,30,"0","0","0","0","0","0",26900
"300","Nissan",2023,3271,3.5,"1","Petrol","Four-wheel Drive",14,19,"0","1","1","0","1","1",41958
"301","Cadillac",2006,96910,3.5,"1","Petrol","Four-wheel Drive",18,25,"1","0","1","0","1","1",9990
"302","FIAT",2012,41272,1.4,"1","Petrol","Front-wheel Drive",30,38,"1","0","0","1","0","0",8495
"303","Mitsubishi",2019,53015,1.5,"0","Petrol","Four-wheel Drive",23,29,"0","1","0","1","0","1",19499
"304","BMW",2020,17127,2,"1","Petrol","Four-wheel Drive",23,33,"0","1","1","1","0","1",32995
"305","Maserati",2011,31393,4.7,"1","Petrol","Rear-wheel Drive",15,25,"0","0","1","1","0","1",21995
"306","Chevrolet",2017,116137,5.3,"1","Petrol","Four-wheel Drive",16,22,"0","1","1","1","1","1",32495
"307","Volvo",2020,35994,2,"1","Petrol","Four-wheel Drive",20,28,"0","1","1","0","0","1",38998
"308","Mazda",2022,8129,2,"1","Electric","Front-wheel Drive",19,23,"0","0","1","0","0","1",26845
"309","Toyota",2021,32500,2.5,"1","Hybrid","Four-wheel Drive",37,40,"1","1","1","1","0","1",39995
"310","MINI",2014,65986,1.6,"0","Petrol","Front-wheel Drive",31,40,"0","1","0","1","0","0",16250
"311","Volkswagen",2019,57758,2,"1","Petrol","Front-wheel Drive",17,23,"0","0","1","1","0","1",26763
"312","MINI",2022,2741,2,"1","Petrol","Four-wheel Drive",26,34,"0","0","0","1","0","1",38996
"313","Toyota",2021,4708,2.5,"1","Petrol","Four-wheel Drive",25,34,"1","1","0","1","0","0",27190
"314","Kia",2017,15975,2,"1","Petrol","Front-wheel Drive",18,25,"0","1","0","1","0","0",13990
"315","Mercedes-Benz",2017,53414,3.5,"1","Petrol","Four-wheel Drive",19,25,"0","0","1","1","0","0",29750
"316","Lexus",2019,35967,4.6,"1","Petrol","Four-wheel Drive",18,25,"0","1","1","1","1","0",50495
"317","Ford",2013,53459,6.2,"1","Petrol","Four-wheel Drive",14,13,"0","0","0","1","0","0",30127
"318","FIAT",2016,34182,1.5,"1","Electric","Front-wheel Drive",23,32,"1","0","1","1","0","0",10998
"319","Mitsubishi",2020,35168,2.4,"1","Petrol","Four-wheel Drive",24,29,"0","0","0","1","1","1",21900
"320","Porsche",2011,57838,3,"0","Hybrid","Four-wheel Drive",19,25,"0","0","1","1","0","1",23000
"321","Cadillac",2016,49144,2,"1","Petrol","Rear-wheel Drive",16,24,"1","0","1","1","0","0",23998
"322","Volvo",2022,3351,2,"1","Electric","Four-wheel Drive",23,31,"0","1","1","1","0","1",49999
"323","Nissan",2012,97531,4,"1","Petrol","Rear-wheel Drive",17,22,"1","1","0","0","0","0",15998
"324","Honda",2020,12406,1.5,"0","Petrol","Front-wheel Drive",26,36,"1","1","0","1","0","1",25750
"325","Hyundai",2017,89603,2.4,"1","Petrol","Four-wheel Drive",23,30,"0","0","0","1","0","0",17261
"326","Volkswagen",2018,35648,2,"1","Petrol","Four-wheel Drive",20,24,"0","1","1","1","0","0",35998
"327","Jaguar",2019,53037,2,"1","Petrol","Four-wheel Drive",22,27,"0","1","0","1","0","0",23985
"328","MINI",2017,93929,2,"0","Petrol","Four-wheel Drive",25,31,"0","1","0","1","0","1",15330
"329","Lexus",2023,3001,3.5,"1","Petrol","Front-wheel Drive",15,20,"0","1","0","0","0","1",50699
"330","Mazda",2000,91447,1.8,"0","Petrol","Rear-wheel Drive",26,35,"1","0","0","0","0","0",7799
"331","Land",2018,16854,3.6,"1","Petrol","Four-wheel Drive",26,31,"1","0","1","1","0","0",52995
"332","Hyundai",2023,3058,2,"1","Hybrid","Front-wheel Drive",17,27,"0","1","1","1","0","1",29497
"333","Mercedes-Benz",2021,21968,2,"1","Petrol","Four-wheel Drive",23,31,"0","1","0","1","0","0",42920
"334","Mitsubishi",2020,25436,1.5,"1","Petrol","Front-wheel Drive",23,28,"1","0","0","1","0","0",21665
"335","MINI",2016,102452,1.6,"1","Petrol","Four-wheel Drive",24,33,"0","0","1","1","0","1",14550
"336","MINI",2009,87940,1.6,"0","Petrol","Front-wheel Drive",27,35,"1","1","0","1","0","1",7850
"337","Audi",2018,45449,3,"1","Petrol","Four-wheel Drive",21,30,"0","0","1","1","0","1",40799
"338","Land",2021,51835,3,"1","Petrol","Four-wheel Drive",17,23,"1","1","1","1","1","1",53500
"339","Nissan",2015,27292,2.5,"1","Petrol","Front-wheel Drive",15,21,"1","0","0","1","0","0",12500
"340","Lexus",2010,154822,4.6,"1","Petrol","Rear-wheel Drive",21,30,"1","0","0","1","0","0",11588
"341","Hyundai",2020,79228,2.4,"1","Petrol","Four-wheel Drive",25,34,"0","1","1","1","0","1",22487
"342","Chevrolet",2019,50838,5.3,"1","Petrol","Four-wheel Drive",15,20,"0","0","0","1","0","0",41999
"343","Volvo",2021,53733,2,"1","Hybrid","Four-wheel Drive",26,31,"0","1","1","1","1","1",45282
"344","Volkswagen",2020,63236,2,"1","Petrol","Front-wheel Drive",19,24,"1","1","1","1","1","1",23500
"345","BMW",2015,54626,2,"1","Petrol","Four-wheel Drive",22,33,"0","1","1","1","0","1",24995
"346","Porsche",2017,60269,3.6,"1","Petrol","Four-wheel Drive",19,23,"1","0","1","1","0","0",41500
"347","Honda",2021,26120,3.5,"1","Petrol","Four-wheel Drive",19,24,"0","1","0","1","0","0",30535
"348","FIAT",2013,92922,1.4,"0","Petrol","Front-wheel Drive",31,40,"0","0","0","1","0","0",9967
"349","Porsche",2011,78389,4.8,"1","Petrol","Four-wheel Drive",20,28,"0","0","1","1","0","1",33993
"350","Honda",2022,8101,1.5,"1","Petrol","Front-wheel Drive",30,37,"0","1","1","1","0","1",29911
"351","Audi",2018,69451,3,"1","Petrol","Four-wheel Drive",19,24,"1","0","0","1","0","1",27495
"352","Volkswagen",2022,27785,3.6,"1","Petrol","Four-wheel Drive",22,31,"0","1","1","1","1","1",45950
"353","Ford",2012,213563,5,"1","GPL","Four-wheel Drive",14,19,"1","0","0","0","0","0",7933
"354","Porsche",2014,10561,3,"1","Hybrid","Rear-wheel Drive",14,21,"0","1","1","1","0","1",42995
"355","Volvo",2019,28780,2,"1","Petrol","Four-wheel Drive",20,31,"0","1","1","1","0","1",37985
"356","Toyota",2022,1588,3.4,"1","Petrol","Four-wheel Drive",17,22,"0","1","1","1","0","0",53595
"357","Alfa",2018,21586,2,"1","Petrol","Four-wheel Drive",24,33,"0","1","0","1","0","1",31952
"358","Alfa",2020,39141,2,"1","Petrol","Four-wheel Drive",13,19,"0","1","0","1","0","1",33406
"359","Hyundai",2012,144730,2.4,"1","Hybrid","Front-wheel Drive",21,26,"0","0","0","1","0","0",6994
"360","Audi",2019,20464,3,"0","Petrol","Four-wheel Drive",19,25,"0","0","1","1","1","1",43900
"361","Maserati",2013,31990,4.7,"1","Petrol","Rear-wheel Drive",15,21,"0","0","1","1","0","1",43991
"362","Volkswagen",2021,24874,3.6,"1","Petrol","Four-wheel Drive",25,33,"0","1","1","1","0","1",43990
"363","Volkswagen",2021,3008,3.6,"1","Petrol","Four-wheel Drive",24,32,"0","1","1","1","1","1",44201
"364","Jaguar",2014,49995,5,"0","Petrol","Rear-wheel Drive",16,24,"0","0","1","1","0","1",41000
"365","Mercedes-Benz",2019,42816,2,"1","Hybrid","Four-wheel Drive",17,25,"1","1","0","1","0","1",29881
"366","Cadillac",2014,58461,6.2,"1","Petrol","Four-wheel Drive",14,19,"0","0","1","1","1","1",33951
"367","FIAT",2013,56775,1.4,"0","Petrol","Front-wheel Drive",28,34,"0","0","0","1","0","0",11899
"368","Jeep",2012,33469,3.6,"1","GPL","Rear-wheel Drive",20,26,"0","1","0","0","0","0",17884
"369","Mazda",2016,89295,2,"1","Petrol","Four-wheel Drive",24,31,"0","0","0","1","0","0",18998
"370","Mercedes-Benz",2015,6322,3,"1","Petrol","Rear-wheel Drive",20,27,"0","1","1","1","0","1",47888
"371","Alfa",2021,25519,2,"1","Petrol","Four-wheel Drive",20,28,"1","1","1","1","0","1",36950
"372","Honda",2021,17111,2,"1","Hybrid","Front-wheel Drive",48,48,"0","0","0","1","0","1",31822
"373","Lexus",2019,63010,3.5,"1","Petrol","Front-wheel Drive",24,33,"1","0","0","1","0","0",30000
"374","Nissan",2022,7775,3.5,"1","Petrol","Four-wheel Drive",17,22,"0","1","1","1","1","1",45794
"375","Mercedes-Benz",2015,62039,3.5,"1","Petrol","Rear-wheel Drive",22,33,"1","0","1","1","0","0",19495
"376","FIAT",2020,18056,1.4,"1","Petrol","Rear-wheel Drive",25,36,"0","1","0","1","0","1",25410
"377","Kia",2021,25481,2.5,"1","Petrol","Four-wheel Drive",28,34,"0","1","0","1","1","1",32949
"378","Kia",2014,40882,3.3,"1","Petrol","Front-wheel Drive",19,24,"0","0","1","1","0","0",16347
"379","Jaguar",2019,70841,2,"1","Petrol","Four-wheel Drive",17,27,"0","0","0","1","0","0",28395
"380","Chevrolet",2017,84767,5.3,"1","Petrol","Rear-wheel Drive",16,23,"0","0","1","1","1","1",34990
"381","Kia",2014,94894,2.4,"1","Petrol","Front-wheel Drive",19,24,"1","0","0","1","0","0",11599
"382","Volkswagen",2021,61438,3.6,"1","Petrol","Front-wheel Drive",16,22,"0","1","0","1","1","1",27699
"383","Porsche",2013,77046,2.7,"1","Petrol","Rear-wheel Drive",18,26,"0","0","0","1","0","0",35263
"384","Jaguar",2020,73333,2,"1","Petrol","Four-wheel Drive",28,34,"1","0","1","1","0","1",26000
"385","Cadillac",2018,28543,3.6,"1","Petrol","Rear-wheel Drive",18,28,"0","1","0","0","0","0",46900
"386","Ford",2015,70601,6.7,"1","Diesel","Four-wheel Drive",14,17,"0","0","0","1","0","0",48981
"387","Lexus",2020,36121,3.5,"1","Hybrid","Four-wheel Drive",21,30,"0","0","1","1","0","0",48988
"388","Volvo",2020,57837,2,"1","Petrol","Four-wheel Drive",22,30,"1","1","1","1","1","1",35295
"389","Kia",2020,65663,3.8,"1","Petrol","Front-wheel Drive",23,34,"0","0","1","1","1","1",31997
"390","Alfa",2017,21962,2.9,"1","Petrol","Rear-wheel Drive",17,24,"0","0","1","1","0","1",39799
"391","Jaguar",2016,56762,3,"0","Petrol","Rear-wheel Drive",20,23,"0","0","1","1","0","1",27850
"392","Mazda",2018,56493,2.5,"1","Petrol","Four-wheel Drive",24,30,"0","0","1","1","1","1",28945
"393","Kia",2022,7842,3.3,"1","Petrol","Four-wheel Drive",19,26,"0","1","1","1","0","1",47645
"394","Land",2016,89006,2,"1","Petrol","Four-wheel Drive",24,31,"0","0","0","1","0","0",16550
"395","Maserati",2017,34590,4.7,"1","Petrol","Rear-wheel Drive",15,25,"0","0","1","1","0","0",47495
"396","Hyundai",2014,84661,2.4,"1","Petrol","Front-wheel Drive",26,29,"0","1","0","1","0","1",15687
"397","FIAT",2016,115036,2.4,"1","Petrol","Front-wheel Drive",22,31,"0","0","0","1","0","0",14599
"398","Lexus",2003,230796,4.3,"1","Petrol","Rear-wheel Drive",19,26,"1","0","0","0","0","0",4285
"399","Mercedes-Benz",2016,89925,2,"0","Petrol","Front-wheel Drive",20,27,"1","0","1","1","0","0",17995
"400","Jeep",2019,31439,2,"1","Petrol","Four-wheel Drive",18,25,"0","1","1","1","0","1",34398
"401","Chevrolet",2019,23917,3.6,"1","Petrol","Front-wheel Drive",18,27,"0","1","1","1","1","1",36106
"402","Chevrolet",2022,24843,2,"1","Petrol","Rear-wheel Drive",19,29,"0","1","0","1","0","0",29598
"403","Alfa",2021,26130,2,"1","Petrol","Four-wheel Drive",22,28,"0","1","0","1","0","1",33819
"404","Porsche",2013,99854,3,"1","Diesel","Four-wheel Drive",18,23,"0","0","0","1","0","0",21000
"405","Ford",2016,132170,2,"1","Petrol","Four-wheel Drive",20,28,"0","0","0","1","0","0",13500
"406","BMW",2021,60377,2,"1","Petrol","Rear-wheel Drive",25,29,"0","1","1","1","0","1",30906
"407","Jaguar",2012,68603,5,"1","Petrol","Rear-wheel Drive",18,28,"0","0","1","1","0","0",12995
"408","FIAT",2018,61526,1.4,"0","Petrol","Rear-wheel Drive",26,35,"0","0","0","1","0","0",18895
"409","Volkswagen",2006,40913,2,"1","Petrol","Front-wheel Drive",21,25,"0","1","0","0","0","0",9995
